model,variant,fold,epoch,train_loss,val_loss,dice,iou,f1,hd,lr,balanced
unetpp,v1_kaggle_8c,3,30,0.19591,0.213343,0.819776,0.762818,0.819776,,3.455e-05,False
unetpp,v1_kaggle_8c,3,31,0.190468,0.210662,0.820825,0.764551,0.820825,,3.159e-05,False
unetpp,v1_kaggle_8c,3,32,0.186689,0.208504,0.822355,0.767095,0.822355,,2.871e-05,False
unetpp,v1_kaggle_8c,3,33,0.182439,0.205066,0.822637,0.767744,0.822637,,2.591e-05,False
unetpp,v1_kaggle_8c,3,34,0.177757,0.201564,0.82352,0.76919,0.82352,,2.321e-05,False
unetpp,v1_kaggle_8c,3,35,0.173885,0.196742,0.82803,0.776852,0.82803,,2.061e-05,False
unetpp,v1_kaggle_8c,3,36,0.172568,0.19463,0.829572,0.779284,0.829572,,1.813e-05,False
unetpp,v1_kaggle_8c,3,37,0.167281,0.189986,0.833189,0.785543,0.833189,,1.577e-05,False
unetpp,v1_kaggle_8c,3,38,0.165276,0.188865,0.832257,0.784056,0.832257,,1.355e-05,False
unetpp,v1_kaggle_8c,3,39,0.163526,0.185282,0.836321,0.790969,0.836321,,1.147e-05,False
unetpp,v1_kaggle_8c,3,40,0.160279,0.181445,0.838145,0.794169,0.838145,,9.55e-06,False
unetpp,v1_kaggle_8c,3,41,0.15929,0.18172,0.837017,0.79219,0.837017,,7.78e-06,False
unetpp,v1_kaggle_8c,3,42,0.157524,0.182718,0.836322,0.790948,0.836322,,6.18e-06,False
unetpp,v1_kaggle_8c,3,43,0.156943,0.178823,0.840741,0.79871,0.840741,,4.76e-06,False
unetpp,v1_kaggle_8c,3,44,0.155491,0.176951,0.842082,0.801108,0.842082,,3.51e-06,False
unetpp,v1_kaggle_8c,3,45,0.155325,0.175095,0.842712,0.8022,0.842712,,2.45e-06,False
unetpp,v1_kaggle_8c,3,46,0.154058,0.174964,0.841931,0.800814,0.841931,,1.57e-06,False
unetpp,v1_kaggle_8c,3,47,0.153843,0.175163,0.842657,0.8021,0.842657,,8.9e-07,False
unetpp,v1_kaggle_8c,3,48,0.153833,0.173965,0.843709,0.80396,0.843709,,3.9e-07,False
unetpp,v1_kaggle_8c,3,49,0.153691,0.175285,0.843053,0.802803,0.843053,,1e-07,False
unetpp,v1_kaggle_8c,3,50,0.153491,0.174595,0.844008,0.804501,0.844008,4.0555,0.0,False
unetpp,v1_kaggle_8c,4,1,0.902041,1.36114,0.132201,0.089267,0.132201,,9.99e-05,False
unetpp,v1_kaggle_8c,4,2,0.683238,0.663031,0.756282,0.664882,0.756282,,9.961e-05,False
unetpp,v1_kaggle_8c,4,3,0.612829,0.62483,0.756527,0.665705,0.756527,,9.911e-05,False
unetpp,v1_kaggle_8c,4,4,0.560736,0.544028,0.777509,0.696788,0.777509,,9.843e-05,False
unetpp,v1_kaggle_8c,4,5,0.520885,0.508948,0.778021,0.697446,0.778021,,9.755e-05,False
unetpp,v1_kaggle_8c,4,6,0.480551,0.471569,0.784267,0.706444,0.784267,,9.649e-05,False
unetpp,v1_kaggle_8c,4,7,0.453084,0.450769,0.78065,0.701317,0.78065,,9.524e-05,False
unetpp,v1_kaggle_8c,4,8,0.427752,0.42384,0.784474,0.707317,0.784474,,9.382e-05,False
unetpp,v1_kaggle_8c,4,9,0.404444,0.397712,0.782038,0.703298,0.782038,,9.222e-05,False
unetpp,v1_kaggle_8c,4,10,0.389721,0.413935,0.765985,0.679414,0.765985,,9.045e-05,False
unetpp,v1_kaggle_8c,4,11,0.367714,0.358596,0.787021,0.710895,0.787021,,8.853e-05,False
unetpp,v1_kaggle_8c,4,12,0.343053,0.335226,0.793834,0.721409,0.793834,,8.645e-05,False
unetpp,v1_kaggle_8c,4,13,0.326037,0.324501,0.79256,0.719646,0.79256,,8.423e-05,False
unetpp,v1_kaggle_8c,4,14,0.313202,0.307958,0.792836,0.720372,0.792836,,8.187e-05,False
unetpp,v1_kaggle_8c,4,15,0.298793,0.295902,0.79672,0.725849,0.79672,,7.939e-05,False
unetpp,v1_kaggle_8c,4,16,0.285178,0.292057,0.79611,0.724759,0.79611,,7.679e-05,False
unetpp,v1_kaggle_8c,4,17,0.277299,0.281551,0.796316,0.725149,0.796316,,7.409e-05,False
unetpp,v1_kaggle_8c,4,18,0.268742,0.273713,0.796021,0.724916,0.796021,,7.129e-05,False
unetpp,v1_kaggle_8c,4,19,0.259874,0.264694,0.798397,0.728772,0.798397,,6.841e-05,False
unetpp,v1_kaggle_8c,4,20,0.251087,0.269128,0.790771,0.716457,0.790771,,6.545e-05,False
unetpp,v1_kaggle_8c,4,21,0.2467,0.250705,0.80354,0.736942,0.80354,,6.243e-05,False
unetpp,v1_kaggle_8c,4,22,0.237186,0.250259,0.801242,0.732831,0.801242,,5.937e-05,False
unetpp,v1_kaggle_8c,4,23,0.229911,0.241735,0.801084,0.732876,0.801084,,5.627e-05,False
unetpp,v1_kaggle_8c,4,24,0.222454,0.24266,0.800937,0.733159,0.800937,,5.314e-05,False
unetpp,v1_kaggle_8c,4,25,0.215648,0.234283,0.804993,0.738946,0.804993,,5e-05,False
unetpp,v1_kaggle_8c,4,26,0.21144,0.23759,0.801469,0.733144,0.801469,,4.686e-05,False
unetpp,v1_kaggle_8c,4,27,0.205621,0.220821,0.812076,0.750261,0.812076,,4.373e-05,False
unetpp,v1_kaggle_8c,4,28,0.200125,0.220636,0.809776,0.746772,0.809776,,4.063e-05,False
unetpp,v1_kaggle_8c,4,29,0.193939,0.215109,0.813303,0.752219,0.813303,,3.757e-05,False
unetpp,v1_kaggle_8c,4,30,0.189823,0.209568,0.816591,0.757844,0.816591,,3.455e-05,False
unetpp,v1_kaggle_8c,4,31,0.183795,0.205092,0.818122,0.760422,0.818122,,3.159e-05,False
unetpp,v1_kaggle_8c,4,32,0.178981,0.210931,0.813337,0.752529,0.813337,,2.871e-05,False
unetpp,v1_kaggle_8c,4,33,0.176916,0.199549,0.821858,0.766417,0.821858,,2.591e-05,False
unetpp,v1_kaggle_8c,4,34,0.171739,0.198563,0.82073,0.764812,0.82073,,2.321e-05,False
unetpp,v1_kaggle_8c,4,35,0.169585,0.193923,0.824674,0.771187,0.824674,,2.061e-05,False
unetpp,v1_kaggle_8c,4,36,0.165278,0.191267,0.827411,0.775676,0.827411,,1.813e-05,False
unetpp,v1_kaggle_8c,4,37,0.16364,0.188721,0.829891,0.779892,0.829891,,1.577e-05,False
unetpp,v1_kaggle_8c,4,38,0.160397,0.188164,0.826699,0.77451,0.826699,,1.355e-05,False
unetpp,v1_kaggle_8c,4,39,0.156827,0.183297,0.831843,0.783345,0.831843,,1.147e-05,False
unetpp,v1_kaggle_8c,4,40,0.154891,0.177568,0.837437,0.792941,0.837437,,9.55e-06,False
unetpp,v1_kaggle_8c,4,41,0.153038,0.179503,0.835241,0.789187,0.835241,,7.78e-06,False
unetpp,v1_kaggle_8c,4,42,0.15118,0.175394,0.838691,0.795123,0.838691,,6.18e-06,False
unetpp,v1_kaggle_8c,4,43,0.149003,0.174552,0.839396,0.796367,0.839396,,4.76e-06,False
unetpp,v1_kaggle_8c,4,44,0.148945,0.173466,0.83981,0.797075,0.83981,,3.51e-06,False
unetpp,v1_kaggle_8c,4,45,0.14884,0.172984,0.840208,0.797771,0.840208,,2.45e-06,False
unetpp,v1_kaggle_8c,4,46,0.147096,0.173904,0.840718,0.798706,0.840718,,1.57e-06,False
unetpp,v1_kaggle_8c,4,47,0.146925,0.172753,0.840844,0.798912,0.840844,,8.9e-07,False
unetpp,v1_kaggle_8c,4,48,0.147029,0.171365,0.841751,0.800487,0.841751,,3.9e-07,False
unetpp,v1_kaggle_8c,4,49,0.146849,0.171857,0.841215,0.799558,0.841215,,1e-07,False
unetpp,v1_kaggle_8c,4,50,0.147129,0.173146,0.841065,0.799288,0.841065,3.6932,0.0,False
unetpp,v1_kaggle_8c,5,1,0.994507,1.306684,0.092896,0.071092,0.092896,,9.99e-05,False
unetpp,v1_kaggle_8c,5,2,0.755844,0.831118,0.687367,0.577481,0.687367,,9.961e-05,False
unetpp,v1_kaggle_8c,5,3,0.683494,0.691337,0.76327,0.67667,0.76327,,9.911e-05,False
unetpp,v1_kaggle_8c,5,4,0.63086,0.652489,0.751905,0.659238,0.751905,,9.843e-05,False
unetpp,v1_kaggle_8c,5,5,0.590764,0.586229,0.775441,0.693632,0.775441,,9.755e-05,False
unetpp,v1_kaggle_8c,5,6,0.549497,0.53946,0.782632,0.704692,0.782632,,9.649e-05,False
unetpp,v1_kaggle_8c,5,7,0.51311,0.515217,0.770152,0.685996,0.770152,,9.524e-05,False
unetpp,v1_kaggle_8c,5,8,0.481717,0.47468,0.780443,0.701123,0.780443,,9.382e-05,False
unetpp,v1_kaggle_8c,5,9,0.458331,0.44409,0.782662,0.705147,0.782662,,9.222e-05,False
unetpp,v1_kaggle_8c,5,10,0.428491,0.44962,0.776708,0.695205,0.776708,,9.045e-05,False
unetpp,v1_kaggle_8c,5,11,0.40544,0.396263,0.790185,0.716373,0.790185,,8.853e-05,False
unetpp,v1_kaggle_8c,5,12,0.38462,0.378547,0.791028,0.717744,0.791028,,8.645e-05,False
unetpp,v1_kaggle_8c,5,13,0.363388,0.363246,0.792413,0.719481,0.792413,,8.423e-05,False
unetpp,v1_kaggle_8c,5,14,0.344833,0.341721,0.793646,0.721469,0.793646,,8.187e-05,False
unetpp,v1_kaggle_8c,5,15,0.331931,0.342866,0.785604,0.70922,0.785604,,7.939e-05,False
unetpp,v1_kaggle_8c,5,16,0.321434,0.325772,0.791009,0.717275,0.791009,,7.679e-05,False
unetpp,v1_kaggle_8c,5,17,0.305952,0.310479,0.795376,0.724134,0.795376,,7.409e-05,False
unetpp,v1_kaggle_8c,5,18,0.295925,0.29837,0.797887,0.728012,0.797887,,7.129e-05,False
unetpp,v1_kaggle_8c,5,19,0.284985,0.30348,0.787445,0.711741,0.787445,,6.841e-05,False
unetpp,v1_kaggle_8c,5,20,0.27735,0.280772,0.797814,0.728205,0.797814,,6.545e-05,False
unetpp,v1_kaggle_8c,5,21,0.26629,0.271371,0.802686,0.735659,0.802686,,6.243e-05,False
unetpp,v1_kaggle_8c,5,22,0.255364,0.265074,0.80156,0.733839,0.80156,,5.937e-05,False
unetpp,v1_kaggle_8c,5,23,0.248955,0.269132,0.79731,0.72701,0.79731,,5.627e-05,False
unetpp,v1_kaggle_8c,5,24,0.241718,0.259898,0.800448,0.731811,0.800448,,5.314e-05,False
unetpp,v1_kaggle_8c,5,25,0.233485,0.245792,0.807445,0.743154,0.807445,,5e-05,False
unetpp,v1_kaggle_8c,5,26,0.231946,0.240752,0.806924,0.742261,0.806924,,4.686e-05,False
unetpp,v1_kaggle_8c,5,27,0.222812,0.235592,0.810729,0.748507,0.810729,,4.373e-05,False
unetpp,v1_kaggle_8c,5,28,0.215339,0.233383,0.811697,0.749806,0.811697,,4.063e-05,False
unetpp,v1_kaggle_8c,5,29,0.20968,0.224027,0.815462,0.75602,0.815462,,3.757e-05,False
unetpp,v1_kaggle_8c,5,30,0.204805,0.222299,0.816348,0.757531,0.816348,,3.455e-05,False
unetpp,v1_kaggle_8c,5,31,0.197543,0.219711,0.818083,0.760479,0.818083,,3.159e-05,False
unetpp,v1_kaggle_8c,5,32,0.193012,0.213575,0.820258,0.763903,0.820258,,2.871e-05,False
unetpp,v1_kaggle_8c,5,33,0.190333,0.211218,0.820601,0.764461,0.820601,,2.591e-05,False
unetpp,v1_kaggle_8c,5,34,0.186647,0.209631,0.821926,0.766726,0.821926,,2.321e-05,False
unetpp,v1_kaggle_8c,5,35,0.182836,0.209567,0.820431,0.76423,0.820431,,2.061e-05,False
unetpp,v1_kaggle_8c,5,36,0.178562,0.204274,0.826378,0.77422,0.826378,,1.813e-05,False
unetpp,v1_kaggle_8c,5,37,0.175258,0.204976,0.824403,0.771003,0.824403,,1.577e-05,False
unetpp,v1_kaggle_8c,5,38,0.172096,0.199155,0.826938,0.775147,0.826938,,1.355e-05,False
unetpp,v1_kaggle_8c,5,39,0.168994,0.19504,0.831866,0.783606,0.831866,,1.147e-05,False
unetpp,v1_kaggle_8c,5,40,0.167451,0.194563,0.831601,0.783149,0.831601,,9.55e-06,False
unetpp,v1_kaggle_8c,5,41,0.164589,0.192622,0.833087,0.785633,0.833087,,7.78e-06,False
unetpp,v1_kaggle_8c,5,42,0.163143,0.191184,0.834255,0.787688,0.834255,,6.18e-06,False
unetpp,v1_kaggle_8c,5,43,0.162792,0.190577,0.83455,0.788129,0.83455,,4.76e-06,False
unetpp,v1_kaggle_8c,5,44,0.160697,0.189647,0.83581,0.790374,0.83581,,3.51e-06,False
unetpp,v1_kaggle_8c,5,45,0.159577,0.187877,0.836604,0.791723,0.836604,,2.45e-06,False
unetpp,v1_kaggle_8c,5,46,0.159311,0.188858,0.835989,0.790696,0.835989,,1.57e-06,False
unetpp,v1_kaggle_8c,5,47,0.158395,0.188683,0.836787,0.792087,0.836787,,8.9e-07,False
unetpp,v1_kaggle_8c,5,48,0.158375,0.18699,0.836813,0.792098,0.836813,,3.9e-07,False
unetpp,v1_kaggle_8c,5,49,0.158473,0.18764,0.837243,0.792845,0.837243,,1e-07,False
unetpp,v1_kaggle_8c,5,50,0.158708,0.189703,0.836271,0.79117,0.836271,4.2379,0.0,False
